branch,quantity,q2.5,q16,q50,q84,q97.5
constant,mean_f_HZ,0.06451363670849902,0.16005357501265838,0.3883056884517271,0.9069829183882389,1.996663894839248
constant,mean_f_EE,0.0024786114288092576,0.005787557221218124,0.012255079394085128,0.023527727675029548,0.04121486470162053
constant,Lambda_HZ,16971085.80735968,42104012.328244105,102148468.05143714,238592733.55378056,525246382.2630818
constant,Lambda_EE,652028.4607654538,1522486.3335499624,3223845.6020202106,6189250.918054584,10842064.42353256
constant,Lambda_EE_over_Lambda_HZ,0.01910171998752548,0.02487550190260522,0.031187600386790245,0.0376443684419013,0.044308209291661245
zero,mean_f_HZ,0.0965339228213042,0.2537282156524479,0.6590690724909568,1.6215912614902759,3.7502180874536095
zero,mean_f_EE,0.0033771076597711243,0.007992744162414665,0.017381670273021337,0.03387835009765266,0.06021460735661248
zero,Lambda_HZ,25394406.06834621,66746249.92918245,173376023.31674877,426579028.0520738,986539841.8952081
zero,Lambda_EE,888388.6694162593,2102587.2038421687,4572456.812682157,8912106.27478533,15840174.580809454
zero,Lambda_EE_over_Lambda_HZ,0.014928021636556363,0.020031117093545773,0.02605747593014544,0.03272421695692232,0.03998929694721947
